# C-282 ζ(s) 켤레합 포함 A_L 재측정 — B-50 검증
# T_MAX=2000.0, CENTER=0.5, TRIM=40%
# n_all=1517, n_valid=910
# NEW: 전체 영점 + 켤레합 (C-270 방식)
# OLD: ±300 이웃, 같은편만 (C-278 방식)

## 핵심 결과
ρ_S(A_bare_old × gap_min  [C-278]) = -0.928669  p=0.0000e+00
ρ_S(A_L_old    × gap_min  [C-278]) = -0.840553  p=5.9254e-244
ρ_S(A_L_new    × gap_min  [C-282]) = -0.799613  p=2.6287e-203
ρ_S(A_Λ_new    × gap_min  [C-282]) = -0.899825  p=0.0000e+00
ρ_S(A_L_new    × gap_right[C-282]) = -0.164520  p=6.0327e-07
ρ_S(A_Λ_new    × gap_right[C-282]) = -0.455323  p=8.9803e-48

GUE_ref = -0.857
C-270_ref_A_L = -0.800
C-270_ref_A_Lambda = -0.900

## 보조 통계
2H1/A_L_new_mean  = 0.842124
2H1/A_bare_old_mean = 0.899098
mean_A_L_new      = 8.7560
mean_A_Lambda_new = 8.3713
mean_A_bare_old   = 8.0753
mean_A_L_old      = 8.7848
mean_S1_conj      = 0.752959

## 개별 데이터
t,A_bare_old,A_L_old,A_L_new,A_Lambda_new,gap_min_gue,gap_right_gue,S1_conj,H1_conj,sm_im,im_gamma_S
686.163224,3.866836,3.624499,3.969001,3.597209,0.889316,1.343259,0.950697,0.000681,0.785763,0.785763
687.961543,3.126512,4.212999,3.089315,4.046121,1.051845,1.051845,0.949474,0.000679,0.785762,0.785762
689.368941,4.075008,5.282362,4.024434,5.100257,0.826795,0.826795,0.948521,0.000677,0.785761,0.785761
690.474735,3.715853,3.804527,3.786097,3.740146,0.827077,1.478657,0.947773,0.000676,0.785760,0.785760
692.451684,7.881336,10.700677,7.654739,10.339964,0.542807,0.542807,0.946439,0.000674,0.785759,0.785759
693.176970,6.673180,6.448683,6.780871,6.417590,0.542928,1.015764,0.945950,0.000673,0.785759,0.785759
694.533909,4.271261,5.110120,4.259309,4.957329,0.892987,0.892987,0.945038,0.000671,0.785758,0.785758
695.726336,5.288859,6.112326,5.278523,5.958404,0.674040,0.674040,0.944239,0.000670,0.785758,0.785758
696.626070,5.564132,4.432860,5.787155,4.508346,0.674225,1.877917,0.943636,0.000669,0.785757,0.785757
699.132095,4.319885,6.495066,4.150964,6.181318,0.873404,0.873404,0.941963,0.000666,0.785756,0.785756
700.296739,5.442217,7.076891,5.334680,6.821675,0.753951,0.753951,0.941187,0.000665,0.785755,0.785755
701.301743,5.894472,6.755631,5.879177,6.589152,0.694594,0.694594,0.940520,0.000664,0.785755,0.785755
702.227343,5.273765,4.666396,5.442570,4.680162,0.694788,1.356020,0.939905,0.000663,0.785754,0.785754
704.033839,4.182250,5.659787,4.089179,5.411482,0.820121,0.820121,0.938709,0.000661,0.785753,0.785753
705.125814,4.799464,5.433442,4.812801,5.288382,0.795497,0.795497,0.937988,0.000660,0.785753,0.785753
706.184655,4.229785,3.767450,4.387066,3.763035,0.795750,1.566500,0.937290,0.000659,0.785752,0.785752
708.269071,4.748660,6.729351,4.587001,6.406981,0.722308,0.722308,0.935919,0.000657,0.785751,0.785751
709.229589,4.254481,4.346862,4.340651,4.268613,0.722515,1.429723,0.935288,0.000656,0.785751,0.785751
711.130274,7.924891,10.792456,7.641913,10.345277,0.579545,0.579545,0.934044,0.000654,0.785750,0.785750
711.900290,7.729375,8.379377,7.741770,8.223054,0.579678,0.639208,0.933541,0.000653,0.785749,0.785749
712.749383,6.528616,5.748081,6.741780,5.788350,0.639369,1.004044,0.932987,0.000652,0.785749,0.785749
714.082772,3.535285,3.208035,3.686938,3.184637,1.004441,1.528916,0.932118,0.000651,0.785748,0.785748
716.112396,3.196385,4.609265,3.101743,4.340338,1.032770,1.032770,0.930800,0.000649,0.785747,0.785747
717.482570,3.985349,5.303304,3.903253,5.044912,0.950274,0.950274,0.929912,0.000647,0.785747,0.785747
718.742787,5.172563,6.564696,5.078694,6.292080,0.719873,0.719873,0.929098,0.000646,0.785746,0.785746
719.697101,4.769873,4.635084,4.899870,4.582588,0.720074,1.248066,0.928482,0.000645,0.785746,0.785746
721.351162,5.072653,6.740029,4.935745,6.419822,0.699307,0.699307,0.927416,0.000643,0.785745,0.785745
722.277505,4.934192,4.822287,5.064270,4.765205,0.699496,1.184260,0.926821,0.000642,0.785744,0.785744
